item,price
ذرة قودي حبة ذهبية علب 196 جرام,SR 3.42 ريال
زيتون كوبوليفا اسود بلا نوى150 جرام,SR 5.03 ريال
ذرة العلالي حلوة مهروسة 425 جرام,SR 5.20 ريال
تونة بيتي خفيف زيت دوارشمس 180جرام,SR 6.25 ريال
تونة بيتي خفيف زيت دوارشمس 100جرام,SR 4.15 ريال
زيتون حلواني اخضر بالزيت 650 جرام,SR 25.15 ريال
زيتون اليسا اخضر محشي 140 جرام,SR 5.52 ريال
فول حدائق كاليفورنيا خلطة لبنانية 450 جرام,SR 5.25 ريال
فول حدائق كاليفورنيا مع فلفل 450 جرام,SR 5.25 ريال
فاصوليا قودي حمراء 425 جرام,SR 4.50 ريال
تونة قودي ابيض 95جرام,SR 6.25 ريال
فول حدائق كاليفورنيا خلطة مصرية 450 جرام,SR 5.25 ريال
فول لونا امريكي علب 450 جرام,SR 2.63 ريال
فاصوليا لونا بيضاء 400 جرام,SR 3.10 ريال
زيتون اليسا اسود علب 100 جرام,SR 3.95 ريال
زيتون كوبوليفا اسود علب 100جرام,SR 3.50 ريال
تونة ريوماري خفيف 6حبات ×80 جرام,SR 36.95 ريال
حمص حدائق شتورة طحينة 180 جرام,SR 1.50 ريال
زيتون كوبوليفا اسود شرائح 114 جرام,SR 4.99 ريال
حمص حدائق كاليفورنيا طحينة 220 جرام,SR 2.25 ريال
حمص حدائق كاليفورنيا طحينة 400 جرام,SR 4.05 ريال
تونة قودي قليل الدسم بالماء 95جرام,SR 4.73 ريال
تونة قودي قليل الدسم بالماء 195جرام,SR 7.60 ريال
زيتون اليسا اسود بلا عجو 150 جرام,SR 6.25 ريال
تونة هالي خفيف 200جرام,SR 5.75 ريال
تونة هالي ابيض 200جرام,SR 6.50 ريال
بزاليا هالي خضراء علب 400 جرام,SR 1.75 ريال
تونة قودي تندرينا ناعمة 195جرام,SR 7.88 ريال
تونة قودي تندرينا ناعمة 80جرام,SR 4.73 ريال
زيتون كوبوليفا اخضر بلا نوى 75 جرام,SR 4.15 ريال
فاصوليا ليبز مطبوخة بصلصة 420 جرام,SR 5.52 ريال
فول حدائق كاليفورنيا بالطحينة 450 جرام,SR 5.25 ريال
سردين صلصة طماطم حار مكاتي 155جرام,SR 2.89 ريال
تونة حدائق كاليفورنيا بالزيت 185جرام,SR 7.30 ريال
حمص شتورة طحينة 380 جرام,SR 3.10 ريال
حمص فرشلي حب زجاج 580 جرام,SR 6.25 ريال
تونة الوها خفيف 185جرام,SR 5.50 ريال
ذرة فرشلي حلوة بالكريمة 410 جرام,SR 4.73 ريال
ذرة العثيم حب كامل حلو علب340جرام,SR 4.50 ريال
مشروم العثيم قطع 400 جرام,SR 5.78 ريال
فول لونا مدمس خلطة سعودية 450 جرام,SR 3.68 ريال
طماطم كوينزى ايطالى مقشر 400 جرام,SR 2.63 ريال
طماطم الطائي ايطالي مقشرة 400 جرام,SR 2.50 ريال
تونة الوها خفيف 100 جرام,SR 3.42 ريال
تونة جنتل ابيض فاخر 95 جرام,SR 4.47 ريال
سردين ميلو بارد 125 جرام,SR 4.15 ريال
ذرة فرشلي بلا ملح وبلا سكر 340 جرام,SR 5.20 ريال
ذرة العملاق الاخضر 432 جرام,SR 5.75 ريال
ذرة العملاق الاخضر حلو 198 جرام,SR 4.75 ريال
ذرة ليبز حب كامل علب 340 جرام,SR 3.77 ريال
خضار مشكل العلالي 400 جرام,SR 5.52 ريال
بزاليا العلالي مع جزر 400 جرام,SR 5.52 ريال
خضار مشكل ليبز 425 جرام,SR 5.52 ريال
مشروم هالي شرائح 400 جرام,SR 5.25 ريال
بزاليا لونا خضراء علب 400 جرام,SR 2.37 ريال
فاصوليا ليبز مطبوخة بصلصة 220 جرام,SR 3.68 ريال
حمص فرشلي حب زجاج 250 جرام,SR 4.73 ريال
حمص لونا حب علب 400 جرام,SR 3.10 ريال
حمص حدائق فيكتوريا طحينة 135جرام,SR 2.05 ريال
طماطم فرشلي مقشرة 390 جرام,SR 3.42 ريال
طماطم هالي مقشرة 400 جرام,SR 2.50 ريال
فول لونا حبه صيني علب 400 جرام,SR 2.05 ريال
فول حدائق كاليفورنيا خلطة سعودية 450 جرام,SR 5.25 ريال
فول حدائق كاليفورنيا مصفى 450 جرام,SR 5.25 ريال
زيتون اليسا اسود علب 200 جرام,SR 5.20 ريال
زيتون اليسا اسود شرائح 120 جرام,SR 6.25 ريال
سردين صلصة طماطم مكاتي 155جرام,SR 2.89 ريال
ذرة فرشلي حب كامل علب 425 جرام,SR 6.04 ريال
ذرة قودي حبة ذهبية علب 340 جرام,SR 4.70 ريال
ذرة العملاق الاخضر بلا ملح وبلا سكر 198 جرام,SR 4.75 ريال
ذرة العملاق الاخضر بلا ملح وبلا سكر 340 جرام,SR 5.95 ريال
بازيلاء العثيم خضراء 400 جرام,SR 2.05 ريال
فاصوليا قودي خضراء مقطعة 411 جرام,SR 4.50 ريال
ورق عنب حدائق كاليفورنيا محشي 2 كيلو,SR 33.55 ريال
تونة جنتل بزيت دوار شمس 185جرام,SR 5.78 ريال
ورق عنب حدائق شتورة محشي 2 كيلو,SR 34.39 ريال
نقانق دجاج حدائق امريكا 142 جرام,SR 4.15 ريال
ذرة العلالي حب كامل علب 425 جرام,SR 4.95 ريال
زيتون اليسا اخضر 100جرام,SR 3.94 ريال
فاصوليا حدائق كاليفورنيا صلصة 420 جرام,SR 4.05 ريال
فاصوليا حدائق كاليفورنيا حمرا 400 جرام,SR 4.95 ريال
سلاتونة ريوماري خلطة ذرة 2×160جرام,SR 25.95 ريال
سلاتونة ريوماري خلطة مكسيكية 2×160 جرام,SR 25.95 ريال
ذرة سمارت حلو علب 340 جرام,SR 4.95 ريال
تونة جرين فارمز خفيف 180 جرام,SR 4.95 ريال
تونة ريوماري بالثوم والفلفل 2×160جرام,SR 25.95 ريال
ورق عنب حدائق شتورة محشي 500 جرام,SR 8.93 ريال
زيتون كوبوليفا اسود بلا نوى 75 جرام,SR 4.15 ريال
تونة حدائق كاليفورنيا شرائح مدخن 120 جرام,SR 7.30 ريال
زيتون حلواني اخضر ش بالشطة650ج,SR 25.15 ريال
زيتون كوبوليفا اخضر شرائح 114 جرام,SR 4.99 ريال
زيتون كوبوليفا اخضر علب 100 جرام,SR 3.50 ريال
تونة المراعي الخضراء خفيف 200 جرام,SR 6.25 ريال
زيتون كوبوليفا اخضر محشي 142 جرام,SR 5.52 ريال
زيتون ايديال اسود 250 جرام,SR 8.50 ريال
ورق عنب السوسن محشي بالأرز,SR 27.25 ريال
حمص شتورة بالطحنية 180جرام,SR 2.05 ريال
فول حدائق كاليفورنيا مقشور 450 جرام,SR 5.25 ريال
مشروم قودي قطع ساق 400 جرام,SR 7.30 ريال
فاصوليا لونا بالصلصة علب 400 جرام,SR 3.10 ريال
ذرة العملاق الاخضر حلو علب 340جرام,SR 5.95 ريال
مشروم هالي كامل 400 جرام,SR 5.75 ريال
فاصوليا هالي حمراء 400 جرام,SR 3.25 ريال
فاصوليا هالي بالطماطم 400 جرام,SR 2.75 ريال
حمص هالي حب علب 400 جرام,SR 1.50 ريال
