,item,price
0,ارز باب الهند بنجابي 5 كيلو, SR 45.95 ريال 
1,ارز زاد الوطن مزة 40كيلو, SR 194.20 ريال 
2,ارز أبو كاس مزة بسمتي 5 كيلو, SR 34.95 ريال 
3,ارز الشعلان بسمتي مزة 20كيلو, SR 133.95 ريال 
4,ارز هالي كالروز مصري 5كيلو, SR 28.30 ريال 
5,ارز جرين فارمز كرنل ابيض 10كيلو, SR 59.95 ريال 
6,ارز جرين فارمز كرنل ابيض 5كيلو, SR 31.95 ريال 
7,ارز ملك الارز بسمتي مزة 10كيلو, SR 70.88 ريال 
8,ارز هالي سيلا بسمتي 10كيلو, SR 65.05 ريال 
9,ارز هالي برمل 40 كيلو, SR 126.00 ريال 
10,ارز الشعلان مزة بسمتي 5 كيلو, SR 34.95 ريال 
11,ارز مالجروسا تايلندي 10 كيلو, SR 66.95 ريال 
12,ارز ابو بنتين 10 كيلو, SR 47.50 ريال 
13,ارز باب الهند بنجابي 40 كيلو, SR 322.35 ريال 
14,ارز العائلة بسمتي ابيض 5 كيلو, SR 44.95 ريال 
15,ارز العائلة بسمتي ابيض 10 كيلو, SR 79.95 ريال 
16,ارز الشعلان مزة بسمتي 10ك, SR 68.95 ريال 
17,ارز الوسام بسمتي 5 كيلو, SR 40.95 ريال 
18,ارز الوسام بسمتي 10 كيلو, SR 79.95 ريال 
19,ارز زاد الوطن مزة 10 كيلو, SR 49.30 ريال 
20,ارز بوندي مزة هندي 40 كيلو, SR 299.25 ريال 
21,ارز المضياف عنبر باكستاني 10 كيلو, SR 62.95 ريال 
22,ارز هالي برمل مزة 10ك, SR 33.60 ريال 
23,ارز المضياف عنبر باكستاني 5ك, SR 33.95 ريال 
24,سكر النحلة قوالب 1كيلو, SR 13.95 ريال 
25,سكر الاسرة خشن 5 كيلو, SR 18.95 ريال 
26,سكر خشن سعودي كيس 50كيلو, SR 124.00 ريال 
27,سكر النحلة قوالب 500جرام, SR 7.30 ريال 
28,سكر حلواني توب توب قوالب 1كيلو, SR 9.72 ريال 
29,سكر حلواني توب توب قوالب 500جرام, SR 5.52 ريال 
30,ارز ميسم بسمتي سيلا هندي ١٠كجم, SR 68.20 ريال 
31,ارز تيجان مزه هندي بسمتي ١٠ كجم, SR 62.95 ريال 
32,أرز جودان كالروز ٥ كجم, SR 24.10 ريال 
33,أرز ملك الأرز بسمتي مزة 5 كجم, SR 40.70 ريال 
34,سكر اس اي اس ناعم 1كيلو, SR 6.83 ريال 
35,سكر اس اي اس ناعم 5كيلو, SR 31.45 ريال 
36,سكر اس اي اس ناعم 2كيلو, SR 13.13 ريال 
37,سكر النحلة اشكال 500جرام, SR 9.40 ريال 
38,سكر الاسرة ناعم 5ك, SR 16.75 ريال 
39,سكر زيادة خشن زيادة 10كيلو, SR 31.45 ريال 
40,سكر زيادة خشن زيادة 5 كيلو, SR 17.33 ريال 
41,سكر ابوفهد ناعم 10 كيلو, SR 23.95 ريال 
42,سكر اس اي اس قوالب 454جرام, SR 7.88 ريال 
43,سكر الاسره ناعم 5 كيلو, SR 17.80 ريال 
44,سكر الاسره ناعم 2 كيلو, SR 7.75 ريال 
45,سكر الاسره ناعم 1 كيلو, SR 4.15 ريال 
46,سكر هالي طبيعي ناعم 10كجم, SR 30.40 ريال 
47,ارز المهيدب بنجابي جار 2 كيلو, SR 22.95 ريال 
48,ارز المهيدب بنجابي 5 كيلو, SR 46.95 ريال 
49,ارز انديا جيت عنبر كلاسيك 5ك, SR 62.48 ريال 
50,ارز صنوايت 5 كيلو, SR 29.95 ريال 
