item,price
____ _____ 0.63___,SR 1.00 ____
____ _____ 1.5___,SR 1.95 ____
____ ___ 0.6___,SR 1.05 ____
____ ___ 24 * 330__,SR 10.45 ____
____ ____ 1.54___,SR 2.05 ____
____ ____ 0.6___,SR 1.05 ____
____ ____ 330__,SR 0.53 ____
____ ____ ____ 1.5___,SR 1.58 ____
____ ____ ____ 330__,SR 0.53 ____
____ _____ 0.33___,SR 0.75 ____
____ _____ ____ 0.6___,SR 1.05 ____
____ ________ 600__,SR 1.05 ____
____ ________ 330__,SR 0.53 ____
____ _____ 330__,SR 5.65 ____
____ ________ 1.5___,SR 2.05 ____
____ ___ 1.5 ___,SR 2.05 ____
____ ___ 5___,SR 3.10 ____
"____ _____ ____ 1,5___",SR 2.05 ____
____ ____ 5___,SR 3.94 ____
"____ ___ ___ _______ 0,6___",SR 1.05 ____
____ ______ ____ 0.5___,SR 5.65 ____
"____ ______ ______ 1,5___",SR 10.75 ____
____ ______ ______ 1___,SR 9.00 ____
____ _____ 750__,SR 7.88 ____
____ ____ ____ 32 * 330 __,SR 9.95 ____
____ _____ 1.5___,SR 13.95 ____
____ _____ ______ 500__,SR 6.75 ____
____ _______ 620__,SR 1.05 ____
____ _____ 330__,SR 5.20 ____
______ ______ ___ 355 __,SR 2.50 ____
_____ ______ _______ 2.25_,SR 8.00 ____
____ _____ _____ 250__,SR 4.25 ____
_____ _____ ____ ____ 275__,SR 5.20 ____
____ _______ _____ ____ 330__,SR 4.95 ____
____ _____ ____ ____ 330__,SR 3.75 ____
____ _______ ____ ____ 330__,SR 4.95 ____
____ ____ ______ ____ 330__,SR 5.00 ____
____ ______ ______ 330__,SR 5.52 ____
____ _____ ______ ____ 330__,SR 3.75 ____
____ _______ ____ 330__,SR 4.95 ____
______ ____ ____ ___ 355 __,SR 2.50 ____
_____ _____ ______ 275__,SR 5.20 ____
_____ _____ ___ _____ 275__,SR 5.20 ____
___ __ ____ 300__,SR 2.50 ____
___ __ ___ 355__,SR 2.50 ____
______ ___ 330__,SR 2.50 ____
_____ ______ ___ 330__,SR 2.50 ____
_____ ____ 300__,SR 2.50 ____
_____ ___ 355__,SR 2.50 ____
______ ____ 250__,SR 2.50 ____
_______ ___ ___ 355__,SR 2.50 ____
___ __ ____ ___ ___ 355__,SR 2.50 ____
___ __ ___ 500__,SR 3.00 ____
_____ ______ ___ 330__,SR 2.50 ____
______ ______ ___ 355 __,SR 2.50 ____
______ ______ ____ 300__,SR 2.50 ____
______ ______ ___ 355 __,SR 2.50 ____
____ _____ ___ 355__,SR 2.50 ____
_____ _____ ____ 275__,SR 5.20 ____
_____ _____ ______ 275__,SR 5.20 ____
_____ _____ ___ ___ 275__,SR 5.20 ____
____ _______ ____ 355__,SR 5.50 ____
____ _______ ___ 355__,SR 4.50 ____
____ ______ ___ ____ 330__,SR 4.73 ____
____ ______ ____ ____ 330__,SR 5.52 ____
____ ____ ____ 330__,SR 5.00 ____
____ _____ ____ 330 __,SR 3.75 ____
____ _____ ____ ____ 330__,SR 3.75 ____
____ _______ ____ ___ 355__,SR 4.50 ____
____ ______ ____ ____ 330__,SR 5.52 ____
____ _______ ___ ____ 330__,SR 4.95 ____
____ ____ ___ ____ ____ 330__,SR 5.00 ____
____ ____ _____ ____ 330__,SR 4.50 ____
____ ____ ____ ____ 330__,SR 5.00 ____
____ ____ ___ 330__,SR 2.50 ____
____ _______ ____ ____ 330__,SR 4.95 ____
____ ____ ____ ____ 330__,SR 5.00 ____
____ _____ ____ 250__,SR 4.20 ____
_____ _____ _____ 275__,SR 5.20 ____
_____ ____ ____ ___ 330__,SR 1.84 ____
____ _______ ______ ____ 330__,SR 4.95 ____
____ _______ ____ ____ 355 __,SR 5.50 ____
____ ______ ____ _____ 330__,SR 5.25 ____
_______ ___ ____ 300__,SR 2.50 ____
_____ _______ 1 ___,SR 5.00 ____
_____ _______ 500 __,SR 3.00 ____
____ ____ ____ 250 __,SR 2.50 ____
____ ____ ____ ____ 250 __,SR 2.50 ____
____ ____ _______ 400 __,SR 2.50 ____
____ ____ _______ 1 ___,SR 5.00 ____
______ ______ ___ 500__,SR 3.00 ____
______ _______ 2.25 ___,SR 8.00 ____
_______ ___ _______ 2.25 ___,SR 8.00 ____
______ ___ ___ 500__,SR 3.00 ____
___ __ _______ 2.25 ___,SR 8.00 ____
___ __ _______ 1 ___,SR 5.00 ____
_____ ______ _______ 2.25 ___,SR 8.00 ____
_____ ______ ____ 250__,SR 2.50 ____
______ ______ _______ 2.25 ___,SR 8.00 ____
_____ ______ _______ 2.25 __,SR 8.00 ____
_____ ______ ___ 330__,SR 2.50 ____
_____ ______ ____ 250__ .,SR 2.50 ____
______ ______ 2.25___,SR 8.00 ____
______ ____ ____ 2.25___,SR 8.00 ____
_____ _____ _____ ____ 275__,SR 5.20 ____
_____ _______ 2.25 ___,SR 8.00 ____
_____ ___ ____ 355__,SR 2.50 ____
_____ ___ 500__,SR 3.00 ____
____ ____ _______ 2.25 ___,SR 6.95 ____
____ ____ ____ ___ 330__,SR 2.50 ____
____ ____ ____ ___ ___ 330 __,SR 2.50 ____
____ ____ _______ 1.75 ___,SR 6.00 ____
____ ____ ____ 250__,SR 0.95 ____
____ ____ ______ _______  1.75 ___,SR 9.45 ____
___________ _____+_____ __200_,SR 1.57 ____
