Item ,Price
Pinar Labneh Mini Portion -  180G,SAR 7.25
President Shredded Mozzarella Cheese -  900G,SAR 19.95SAR 42.50
Pride Shredded Mozzarella -  1Kg,SAR 33.95
Puck Labneh Turkish Recipe -  400G,SAR 11.55
Fossen Smoked Salmon Scottish -  100G,SAR 34.95
Almarai Cream Cheese - 432G,SAR 12.00
Tamimi Large Arabic Brown Bread - 4 pieces,SAR 1.00
Onions Red Local - 250 g,SAR 0.90
Almarai Cheese Slices Burger - 200G,SAR 6.50
Almarai Fresh Low Fat Milk - 1L,SAR 4.50
Almarai Fresh Full Fat Milk - 500Ml,SAR 3.00
Almarai Feta Cheese Low Fat & Less Salt - 200G,SAR 5.85
Almarai Feta Cheese Full Cream - 200G,SAR 5.25
Stuhrk Black Lumpfish Caviar -  50G,SAR 18.40
Stuhrk Red Lumpfish Caviar -  50G,SAR 18.40
Ulker Turkish Labneh - 8 x 20 grams,SAR 7.30
Philadelphia Regular Cream Cheese Spread - 180G,SAR 10.95
Kraft Original Cheddar Cheese Spread Squeeze - 2X870G,SAR 38.95SAR 41.95
Lurpak Unsalted Butter - 100G,SAR 3.95SAR 4.95
Philadelphia Light Cream Cheese Spread - 180G,SAR 13.95
Kraft Cheddar Cheese - 7+1Free X50G,SAR 21.95SAR 23.50
Puck Cream Cheese Spread - 500G,SAR 15.70
The Three Cows Shredded Mozzarella Cheese - 200G,SAR 9.95
Puck Shredded Mozzarella Cheese Modified With Vegetable Oil - 250G,SAR 9.95
Ulker Turkish Labneh - 180G,SAR 6.55
Almarai Full Fat Cooking Cream - 250ML,SAR 7.00
Almarai Fresh Yoghurt Full Cream 2kg - 500G,SAR 3.15
Almarai Mozzarella Cheese 100 Grams Free - 200g,SAR 9.40
Almarai Premium Labneh Full Fat Turkish Style - 400G,SAR 11.55
Almarai Unsalted Natural Butter - 100G,SAR 5.25
Almarai Processed Cream Cheese - 2x900G,SAR 35.25SAR 42.00
Almarai Halloumi Full Fat Cheese - 225G,SAR 13.95
Kiri Spreadable Creamy Cheese - 24Pcs,SAR 14.95SAR 16.50
Almarai Whipping Cream - 500Ml,SAR 14.00
Almarai Fresh Labneh Full Fat -  200G,SAR 5.00
Almarai Cheddar Cheese Slices -  200G,SAR 7.35
Badr Low Fat Labneh - 250 g,SAR 5.75
Halwani Brothers Smoked Roast Turkey - 1.0 kg,SAR 98.95SAR 114.95
Hungarian Double Cream Cheese - 250 g,SAR 5.00
Sunbula Shredded Mozzarella Cheese -  500G,SAR 23.05
Frico Edam Cheese - 250 g,SAR 13.50
Lebanese Makdous - 250 g,SAR 8.50
Acorsa Black Spanish Olive - 250 g,SAR 5.75
Stuhrk Wild Salmon Caviar -  50G,SAR 47.20
Pride Classic Cheddar - 500G,SAR 19.45
Forsana Shredded Cheddar Cheese - 200G,SAR 11.25
Fresh Cat Fish - 500 g,SAR 2.48SAR 3.75
Fresh Sea Bass - 500 g,SAR 25.50
Fresh Hamour Bagal - 1.0 kg,SAR 26.95SAR 35.95
Americana Pepperoni - 1.0 kg,SAR 59.95SAR 79.95
Mushrooms - 250 grams,SAR 8.95
Medium Fresh Andak Fish - 500 g,SAR 13.50
Eggplant Big - 250 g,SAR 1.50
Green Onions - 1 count,SAR 1.95
Okra - 250 g,SAR 7.00
Altayeb Less Salt White Cheese - 250 g,SAR 9.18
Mandarine - 250 g,SAR 1.75
Pakistani Mandarin - 250 g,SAR 2.00
Bell Pepper Yellow - 500 g,SAR 3.45SAR 8.95
Pinar Labneh - 250 g,SAR 6.75
Avocado Kenya - 250 g,SAR 6.25
Bridel Brie Cheese 20% Fat - 250 g,SAR 44.75
Kasih Liquid Jameed -  1Kg,SAR 37.95
Green Moroccan Olive With Lemon - 250 g,SAR 5.50
Ulker Labneh - 250 g,SAR 7.00
Ulker Light Turkish Labneh - 275G,SAR 9.40
Halwani Brothers Mortadella Beef Plain - 1.0 kg,SAR 27.95SAR 38.95
Hajdu Kashkawane Cow Cheese - 250 g,SAR 12.60
Americana Smoked Turkey Breast - 250 g,SAR 25.00
Green Pepper - 250 g,SAR 2.25
Red Bell Pepper - 500 g,SAR 3.45SAR 5.95
Celery  Stick - 250 g,SAR 2.25
Tomato - 250 g,SAR 2.00
Orange Valencia - 250 g,SAR 1.50
Red Cabbage - 1.0 kg,SAR 7.95
Green Cabbage - 250 g,SAR 0.75
Lemon Large - 250 g,SAR 2.25
Romaine Lettuce - 1.0 kg,SAR 7.95
